fft_0, fft_1, fft_2, beam_0, beam_1, beam_2, demul_0, demul_1, demul_2, decode_0, decode_1, decode_2
22.633 56.230 75.182 0.176 21.309 0.000 4.378 0.000 0.000 3.850 758.273 0.000
12.514 44.158 72.386 0.180 14.670 0.000 3555813484166776.000 0.000 0.000 2.629 783.775 0.000
12.249 66.116 70.333 0.239 23.349 0.000 5333720226250163.000 0.000 0.000 2.646 807.642 0.000
12.260 44.554 69.583 0.190 15.419 0.000 1777906742083388.000 0.000 0.000 1.323 751.461 0.000
12.036 44.499 67.839 0.275 23.173 0.000 1777906742083388.250 0.000 0.000 1.709 755.439 0.000
12.579 44.455 71.606 0.193 14.446 0.000 3555813484166775.000 0.000 0.000 2.105 776.909 0.000
11.974 44.485 70.882 0.231 21.145 0.000 5333720226250163.000 0.000 0.000 2.810 789.471 0.000
12.171 44.490 69.392 0.191 24.159 0.000 1777906742083388.250 0.000 0.000 1.701 734.481 0.000
12.032 44.592 72.194 0.240 22.697 0.000 3555813484166775.500 0.000 0.000 2.255 744.295 0.000
11.941 44.592 69.032 0.253 24.911 0.000 3555813484166776.000 0.000 0.000 2.762 790.394 0.000
12.084 44.466 71.309 0.193 25.261 0.000 7111626968333550.000 0.000 0.000 3.130 773.121 0.000
12.042 44.615 68.908 0.223 14.428 0.000 0.967 0.000 0.000 2.118 775.555 0.000
11.915 44.537 71.867 0.242 23.145 0.000 5333720226250163.000 0.000 0.000 1.642 740.912 0.000
11.857 44.601 72.113 0.242 22.993 0.000 3555813484166775.000 0.000 0.000 2.350 786.927 0.000
11.812 44.552 67.182 0.222 18.238 0.000 1777906742083387.250 0.000 0.000 2.863 755.707 0.000
15.183 53.613 78.646 0.186 22.999 0.000 3555813484166776.000 0.000 0.000 2.619 749.283 0.000
12.233 44.516 67.935 0.195 22.601 0.000 5333720226250164.000 0.000 0.000 2.535 766.331 0.000
11.872 44.678 73.792 0.207 24.707 0.000 3555813484166776.000 0.000 0.000 2.662 745.320 0.000
12.115 44.510 69.489 0.226 23.984 0.000 1777906742083387.750 0.000 0.000 2.540 737.670 0.000
12.250 44.559 69.676 0.196 22.601 0.000 5333720226250163.000 0.000 0.000 2.119 749.104 0.000
12.002 44.492 75.736 0.199 23.343 0.000 1777906742083388.750 0.000 0.000 1.387 730.064 0.000
11.858 44.570 66.147 0.194 23.819 0.000 5333720226250163.000 0.000 0.000 2.162 732.322 0.000
