fft_0, fft_1, fft_2, beam_0, beam_1, beam_2, demul_0, demul_1, demul_2, decode_0, decode_1, decode_2
21.062 54.773 70.047 0.182 20.739 0.000 3.111 0.000 0.000 0.307 4.415 54.289
11.746 44.352 67.888 0.204 17.402 0.000 1777910101962876.500 0.000 0.000 0.287 2.856 50.243
11.179 44.426 66.937 0.241 22.683 0.000 3555820203925754.000 0.000 0.000 0.275 3.322 49.768
11.597 52.445 70.121 0.259 24.922 0.000 1777910101962877.500 0.000 0.000 0.299 3.017 50.131
11.236 44.394 66.820 0.268 22.339 0.000 3555820203925753.500 0.000 0.000 0.288 2.780 49.854
11.717 44.438 66.942 0.247 15.326 0.000 1777910101962878.000 0.000 0.000 0.300 2.909 50.165
11.161 44.422 65.725 0.235 22.521 0.000 3555820203925753.000 0.000 0.000 0.281 2.909 49.527
11.346 44.480 70.051 0.229 22.286 0.000 1777910101962877.000 0.000 0.000 0.301 3.061 49.654
11.131 44.412 66.304 0.271 22.723 0.000 5333730305888631.000 0.000 0.000 0.405 2.823 49.373
11.382 44.570 67.679 0.187 24.746 0.000 3555820203925754.000 0.000 0.000 0.378 2.799 49.078
11.129 44.596 67.088 0.212 23.964 0.000 3555820203925753.500 0.000 0.000 0.301 2.804 49.113
